,0,나이,성별
2464,KozyPop,30,0
2465,사이로(415),27,0
2466,퀸 와사비 (Queen WA$ABII),28,1
2467,Bella Poarch,26,1
2468,Jiwoo,25,0
2469,"The Quiett, 릴러말즈 (Leellamarz)",38,0
2470,"Yelloasis, JUNNY (주니)",27,0
2471,"도영 (DOYOUNG), 김세정",27,0
2472,Liam Payne,29,0
2473,Cheat Codes,30,0
2474,JVKE,22,0
2475,"Stacey Ryan, Ziva Magnolya",30,1
2476,인디고,38,0
2477,Pentatonix,31,1
2478,Paul,35,0
2479,스피카,36,1
2480,Tiffany Young,33,1
2481,SMTOWN,30,1
2482,달샤벳,31,1
2483,"salem ilese, 투모로우바이투게더, Alan Walker",23,1
2484,JK 김동욱,47,0
2485,Chris De Burgh,74,0
2486,조대호,50,0
2487,"제시 (Jessi), 치타 (CHEETAH), 강남",34,1
2488,LEON (딥상어),23,1
2489,"Sam Smith, Normani",31,0
2490,투엑스,34,1
2491,레오(LEO),32,0
2492,"KUSH, Zion.T",38,0
2493,수안,20,1
2494,"Alan Walker, Sophia Somajo",25,0
2495,홍수철,66,0
2496,Kubota Toshinobu,60,0
2497,EVERGLOW (에버글로우),24,1
2498,송하영 (프로미스나인),25,1
2499,Passenger,39,0
2500,김그림,36,1
2501,Boney M,50,1
2502,김장훈,59,0
2503,놀이터,50,1
2504,류런위,21,1
2505,"John Denver, Placido Domingo",80,0
2506,Ludwig Van Beethoven,40,0
2507,박지훈,24,0
2508,"오렌지 캬라멜, 뉴이스트",30,1
2509,레이나 (Raina),34,1
2510,Anyband,35,1
2511,디아크,19,0
2512,"BIGBANG (빅뱅), 2NE1",36,0
2513,김아중,40,1
2514,Felix Jaehn,28,0
2515,"Kanye West, Desiigner, Big Sean, Travis Scott, 2 Chainz, Gucci Mane, Quavo, Yo Gotti",46,0
2516,"Stevie Wonder, Andra Day",73,0
2517,레터 플로우,33,0
2518,"스웨덴세탁소, 레터 플로우",25,1
2519,투니버스,30,0
2520,브라운,60,0
2521,"선우정아, 바버렛츠 (The Barberettes)",38,1
2522,"치타 (CHEETAH), 에일리(Ailee)",33,1
2523,원써겐,40,0
2524,"범키, 버벌진트",38,0
2525,Ignite,25,0
2526,Dawin,32,0
2527,Logic,33,0
2528,피노다인(Pinodyne),30,0
2529,"Mac Ayres, Jordan Robertson",26,0
2530,Harvard,40,0
2531,송중기,37,0
2532,박보영,33,1
2533,"Jessica (제시카), 김진표",34,1
2534,"Wiz Khalifa, Charlie Puth",35,0
2535,키썸 (Kisum),29,1
2536,리오 케이코아,43,0
2537,펜토,38,0
2538,줍에이 (Joob A),26,0
2539,롤러 코스터,40,1
2540,찬희 (SF9),23,0
2541,"SZA, Justin Timberlake",33,1
2542,Amber Liu (엠버),30,1
2543,"015B, 심규선 (Lucia)",55,0
2544,Bahari,30,1
2545,Kiiara,28,1
2546,Bakar,29,0
2547,혜령,42,1
2548,Nouvelle Vague,40,0
2549,Far East Movement,43,0
2550,주영 (Jooyoung),32,0
2551,PRODUCE 48,19,1
2552,Summer Walker,27,1
2553,Brandon Beal,39,0
2554,6ix9ine,27,0
2555,"Lil Uzi Vert, Quavo, Travis Scott",27,0
2556,"Jane Edwards, Choir, Geoffrey Lancaster, Gerald Keuneman, Orchestra Of St. Luke's, Ricky Edwards",60,1
2557,"Midnight Kids, Annika Wells",20,0
2558,"Post Malone, The Weeknd",28,0
2559,"SINCE, Tabber",30,1
2560,"Ellie Goulding, Lauv",36,1
2561,Movie Sounds Unlimited,37,0
2562,"Doja Cat, The Weeknd",27,1
2563,Miley Cyrus,30,1
2564,"Calvin Harris, The Weeknd",39,0
2565,전지윤 (JENYER),32,1
2566,Chet Baker,50,0
2567,John Splithoff,34,0
2568,Lil Cherry,27,1
2569,Lana Del Rey,38,1
2570,ONE OK ROCK,35,0
2571,"2BIC(투빅), 다비치",37,0
2572,Mild High Club,40,0
2573,"은하 (EUNHA), 라비 (RAVI)",26,1
2574,"죠지, 쿠기 (Coogie)",29,0
2575,Betty Who,32,1
2576,Ecobridge,44,0
2577,김고은,32,1
2578,"Bebe Rexha, ITZY (있지)",20,1
2579,Daylight,41,1
2580,lobonabeat!,20,0
2581,"킹기훈, 문찬2, 빡성민",30,0
2582,랄랄,30,1
2583,"Keith Ape, Ski Mask The Slump God",29,0
2584,Suzanne Vega,64,1
2585,406호 프로젝트,30,1
2586,SOUND PALETTE,25,0
2587,Arena Themes,40,0
2588,"브라더수, SE O (세오)",32,0
2589,Carlie Hanson,23,1
2590,Alessia Cara,27,1
2591,Hearts & Colors,40,0
2592,"나플라 (nafla), OLNL (오르내림), 오디(ODEE)",31,0
2593,"Dok2, The Quiett, 김효은, Hash Swan, 창모 (CHANGMO)",33,0
2594,Regina Spektor,43,1
2595,"박효신, 비, 린, 천명훈, 노유민, 김태우, 이기찬, 이혜선",41,0
2596,진영,31,0
2597,Jamie Miller,25,0
2598,케빈오,32,0
2599,심현정,52,1
2600,이지수,29,0
2601,Jia Peng Fang,65,0
2602,"Celine Dion, James Horner",55,1
2603,이진혁,27,0
2604,"Lil Nas X, RM",24,0
2605,위키드 블루팀,30,1
2606,전소영,33,1
2607,"박화요비, 박효신",41,1
2608,"권인하, 박효신",63,0
2609,"edbl, Isaac Waddington",40,0
2610,렉시,46,1
2611,Suede,55,0
2612,위아더나잇 (We Are The Night),-1,-1
2613,KHAN,29,1
2614,현욱,28,0
2615,"요조, 김진표",42,1
2616,"박정현, 김연아, 정재일",49,1
2617,Osshun Gum,24,0
2618,"Olivia Foa'i, Opetaia Foa'i, Talaga Steve Sale",40,1
2619,"Opetaia Foa'i, Lin-Manuel Miranda",67,0
2620,"Auli'i Cravalho, Christopher Jackson, Louise Bush, Nicole Scherzinger, Rachel House",22,1
2621,Jordan Fisher,29,0
2622,순순희,31,0
2623,"박지윤, 윤승욱",41,1
2624,Richard Clayderman,69,0
2625,Mamas Gun,40,1
2626,기억 조작단,10,1
2627,양희은,60,1
2628,"다이나믹 듀오, 첸 (CHEN)",42,0
2629,"정승환, 박윤하",26,0
2630,"A Great Big World, Christina Aguilera",42,1
2631,서준,32,0
2632,JBJ,35,0
2633,Home Free,34,0
2634,어린이 역사노래회,10,0
2635,서다람,20,1
2636,Portable Groove 09,56,0
2637,"효린, 키썸 (Kisum)",35,1
2638,Neiked,30,1
2639,"버벌진트, 한해",33,0
2640,노래를 찾는 사람들,50,1
2641,씨스타19,32,1
2642,JINU (김진우),31,0
2643,Kesha,36,1
2644,승관 (SEVENTEEN),25,0
2645,류준열,36,0
2646,MAN1AC,42,0
2647,Nathan Evans,28,0
2648,"효정 (오마이걸), 아린 (오마이걸), 장원영 (IVE), 이서 (IVE), 세림 (CRAVITY), 정모 (CRAVITY)",28,1
2649,NCT 도재정,19,0
2650,Dahl,80,0
2651,TREASURE (트레저),18,0
2652,조성진,29,0
2653,Yoshiki,57,1
2654,Higuchi Ai,33,1
2655,"Meiko Honma (CV:Ai Kayano), Naruko Anjyo (CV:Haruka Tomatsu), Chiriko Tsurumi (CV:Saori Hayami)",10,1
2656,"Audien, MAX",31,0
2657,"salem ilese, 투모로우바이투게더",23,1
2658,"benny blanco, 방탄소년단, Snoop Dogg",35,0
2659,블라세 (BLAS?),28,0
2660,"Junoflo (주노플로), 지투 (G2)",30,0
2661,G-Eazy,34,0
2662,실키보이즈 (SILKYBOIS),34,0
2663,"Machine Gun Kelly, blackbear",33,0
2664,"2 Chainz, Wiz Khalifa",45,0
2665,"Gael Garcia Bernal, Gabriella Flores, Libertad Garcia Fonzi",44,0
2666,"지민, 하성운",29,0
2667,KARDI (카디),26,1
2668,"적재, 권진아",34,0
2669,"김민규 (Young Kay), Gist",27,0
2670,지금 (JIGM),28,1
2671,Vedo,30,0
2672,Healy,49,0
2673,"우원재, meenoi (미노이)",26,0
2674,"보이비, 개코, 최자, 지구인, GRAY (그레이), Crush, 원슈타인, 마미손, Zior Park, 샘김 (Sam Kim)",36,0
2675,"아이유, 강승원",30,1
2676,구이임,30,0
2677,Eddie Higgins Trio,77,0
2678,Jworship,45,0
2679,김준수,36,0
2680,MØ,34,0
2681,차가운 체리,37,0
2682,Guns N' Roses,61,0
2683,일렉트로보이즈,37,0
2684,래원 (Layone),21,0
2685,새벽한시,35,0
2686,원어스 (ONEUS),19,0
2687,Zara Larsson,25,1
2688,Saweetie,30,1
2689,김민규 (Young Kay),22,0
2690,도영 (DOYOUNG),27,0
2691,"Gabrielle Aplin, JP Cooper",39,0
2692,Olivia O'Brien,23,1
2693,WayV,19,0
2694,Nate Ruess,41,0
2695,Jonathan Groff,38,0
2696,Wanna One (워너원) - 남바완,27,0
2697,"BIGBANG (빅뱅), 태양, T.O.P",35,0
2698,"그루비룸 (GroovyRoom), 릴러말즈 (Leellamarz)",28,0
2699,런치,25,1
2700,Gallant x Tablo x Eric Nam,34,0
2701,Dayday (데이데이),28,0
2702,Mac Ayres,26,0
2703,"R.Tee, Anda",33,0
2704,"강승윤, MINO (송민호)",29,0
2705,Cold Bay (콜드베이),30,0
2706,"NO:EL, 키드밀리 (Kid Milli), Jvcki Wai, 양홍원",23,0
2707,"기리보이, 매드클라운, 주영 (Jooyoung), 몬스타엑스",32,0
2708,"케이윌, 소유 (SOYOU), 보이프렌드, 몬스타엑스, 우주소녀, 매드클라운, 정기고, #Gun, 유승우, 브라더수, 마인드유, 듀에토, 정세운, 이광현",41,0
2709,Rejjie Snow,30,0
2710,"Kygo, Ellie Goulding",31,0
2711,이든 (EDEN),35,0
2712,dvsn,38,0
2713,和ぬか,23,1
2714,"Tiara Andini, Arsy Widianto",21,1
2715,익스,40,1
2716,tripleS (트리플에스),18,1
2717,Machine Gun Kelly,33,0
2718,Tom Grennan,28,0
2719,다린,26,1
2720,애프터스쿨 RED,35,1
2721,더 씨야,31,1
2722,Panic! At The Disco,36,0
2723,임준걸 (JJ Lin),42,0
2724,다크비 (DKB),26,0
2725,almost monday,23,0
2726,"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)",36,0
2727,Rohann (이로한),23,0
2728,BehindtheMoon,30,1
2729,유세윤,42,0
2730,지투 (G2),31,0
2731,민서 (MINSEO),27,1
2732,BØRNS,31,0
2733,PEEJAY,43,0
2734,박혜나,41,1
2735,ILLSON,41,0
2736,Wanna One (워너원) - 린온미,26,0
2737,George Michael,60,0
2738,신인류,27,1
2739,Grace Mitchell,25,1
2740,신신애,64,1
2741,Marshmello,30,0
2742,"Kendrick Lamar, SZA",30,0
2743,"Travis Scott, Young Thug",30,0
2744,Billie Marten,21,1
